subscriber_id,name,email,age,gender,location,subscription_start_date,subscription_end_date,survival_time,event_observed
39,Stacy Walker,ftaylor@example.net,27,Other,Larsonfort,2020-02-16 07:52:01.300938,2028-09-05 17:50:01.229887,3124.0,False
40,Tamara Savage,cabreradanielle@example.com,32,Female,North Melissa,2021-12-05 02:39:00.705364,2029-02-28 15:27:08.335388,2642.0,False
41,Alexa Franklin,courtney42@example.org,33,Male,Christineton,2020-08-13 11:09:31.533860,2027-08-04 21:09:57.016046,2547.0,False
42,Hannah Mitchell,brian27@example.net,39,Other,West Derrick,2023-08-15 17:02:21.306317,2028-07-30 01:05:11.809621,1810.0,True
43,Elizabeth Mclaughlin,sdonaldson@example.net,23,Other,Lake Coreystad,2021-07-03 11:23:54.273251,2027-06-13 23:08:31.521874,2171.0,True
44,Heidi Thompson,hendersontammy@example.net,43,Male,Hopkinsberg,2020-04-15 03:29:42.696968,2029-11-05 19:04:34.397932,3491.0,False
45,Megan Daniel,crystalswanson@example.net,39,Other,Yolandamouth,2020-07-31 01:56:57.553845,2029-09-12 07:28:33.124593,3330.0,False
46,Rebecca Collins,angela77@example.com,42,Other,Jaredfurt,2021-04-18 18:27:54.070840,2028-05-28 13:00:27.795696,2596.0,True
47,Madison Keller,thomaspowell@example.net,68,Female,Eileenhaven,2023-04-21 20:43:09.557577,2025-02-07 06:36:57.257123,657.0,False
48,Samuel Lewis,teresa03@example.org,68,Other,North Amandamouth,2021-09-30 09:18:16.243839,2028-11-22 16:34:09.878090,2610.0,False
49,Melissa Larson,johnnytodd@example.net,70,Other,East Sarahhaven,2021-03-03 16:22:42.550865,2026-05-09 20:12:57.960046,1893.0,False
50,Casey Ramirez,laurenjohnson@example.org,21,Other,Tonihaven,2020-11-25 07:55:30.310516,2028-06-12 08:01:21.032332,2756.0,True
51,Andrew Shields,brucehill@example.org,19,Female,Sharonville,2020-09-27 10:03:23.741865,2024-07-25 08:16:07.509546,1396.0,False
52,Jared Alvarez DDS,davidcollins@example.com,68,Male,Adamsmouth,2023-01-31 17:01:02.170870,2029-11-17 06:41:59.826059,2481.0,False
53,Zachary Owens,pamelamiddleton@example.com,35,Female,Angelabury,2022-07-26 20:09:16.519887,2024-10-25 20:50:03.768741,822.0,True
54,Pam Kemp MD,ljacobs@example.com,28,Female,Lake Josephmouth,2021-09-28 16:50:33.954255,2024-05-20 21:07:56.447079,965.0,False
55,Jeremy Weber,elee@example.net,27,Male,Lake Hannahstad,2020-06-05 20:58:59.718051,2028-09-18 17:00:35.795018,3026.0,True
56,Jonathan Diaz,fisherpatrick@example.org,21,Female,Lake Sallyhaven,2020-08-13 14:49:33.178083,2026-12-13 22:32:12.324598,2313.0,True
57,Francisco Weaver,krocha@example.org,57,Male,South Sara,2021-10-26 11:19:16.738144,2027-03-08 04:59:55.231282,1958.0,False
58,Michelle Silva,hendersonjoshua@example.com,50,Male,Carlfurt,2021-02-07 20:05:08.075447,2025-05-28 06:57:20.637704,1570.0,False
59,Amy Chen,ashley01@example.net,41,Other,New Christopherview,2023-07-10 21:58:57.131881,2028-07-01 17:26:32.777278,1817.0,True
60,Kathleen Wilson,eileenjones@example.org,61,Male,Tiffanymouth,2021-12-01 07:51:23.437561,2025-04-26 16:25:18.412757,1242.0,False
61,Garrett Ballard,gardnermichael@example.org,51,Other,Yvonneborough,2022-10-15 21:20:44.457349,2029-12-27 05:40:45.787483,2629.0,True
62,Wanda Gardner,rojasjose@example.org,55,Male,Kellerchester,2023-10-23 20:42:44.042001,2029-01-29 23:53:34.617310,1925.0,False
63,Brian Ballard,scantu@example.org,38,Male,Jenniferland,2023-11-01 07:26:16.238472,2024-09-30 09:21:27.322215,334.0,False
64,Monica Long,devin33@example.com,60,Female,North Michael,2023-08-03 00:58:35.096732,2026-07-12 03:32:44.341782,1074.0,False
65,Valerie Brewer,padams@example.net,36,Other,New Jessica,2022-09-01 12:07:08.931636,2026-08-07 19:05:29.495487,1436.0,False
66,Mary Vazquez,nelsonmark@example.net,26,Female,South Ronald,2021-08-03 06:43:01.558487,2028-05-29 12:26:14.594281,2491.0,False
67,James Anderson,tara52@example.com,29,Other,Loganbury,2022-06-13 08:24:18.756755,2025-12-18 16:09:51.075770,1284.0,False
68,Helen Simmons,kyleweber@example.com,68,Female,Robertland,2022-01-28 17:50:29.414132,2025-01-06 08:52:23.051960,1073.0,True
69,Andrew Lopez,qjones@example.com,20,Male,Beverlyshire,2022-11-02 14:31:32.170180,2028-10-28 10:00:06.345176,2186.0,True
70,Christopher Gibson,jennifer78@example.com,23,Other,Aprilborough,2020-05-21 16:05:01.601402,2029-06-02 11:37:28.566929,3298.0,False
71,Tracy Wright,kimberlyjoseph@example.org,52,Female,Rodriguezview,2023-04-03 03:07:16.058545,2028-06-30 02:43:20.780541,1914.0,True
72,Douglas Torres,walkerdaniel@example.net,42,Male,Jasonmouth,2023-09-21 10:22:32.505507,2029-07-31 14:19:42.535079,2140.0,False
73,Mrs. Jill Cohen MD,kingwilliam@example.net,25,Female,Lake Kelly,2020-07-12 05:38:51.192772,2024-08-04 01:38:26.298894,1483.0,True
74,Scott Morgan,christine60@example.com,65,Male,Gwendolynport,2022-05-25 02:10:25.149453,2029-07-01 15:41:23.678248,2594.0,True
75,David Walker,antonio67@example.org,65,Male,Brookeburgh,2021-02-04 08:29:42.456554,2028-04-15 01:54:47.627028,2626.0,False
76,Christopher Elliott,hoffmanchristopher@example.com,51,Other,New Alanborough,2021-03-10 00:57:56.201179,2026-09-06 01:58:28.137656,2006.0,False
77,Patricia Wilson,george10@example.net,27,Other,North Jacqueline,2022-08-19 08:35:05.210248,2026-12-25 19:04:07.286234,1589.0,True
78,Linda Martinez,simmonsrebecca@example.org,32,Female,Stephaniefurt,2021-10-07 19:52:22.790224,2025-11-27 01:26:55.196433,1511.0,True
79,Brian Moreno,michaelsilva@example.com,66,Male,East Jacob,2020-10-05 23:27:04.574770,2024-08-11 09:42:25.509686,1405.0,True
80,Kelly Daniels,watsoncynthia@example.org,26,Other,Port Robertmouth,2021-05-04 15:08:56.282006,2029-02-17 01:50:20.512618,2845.0,True
81,Lindsay Mills,paul39@example.com,24,Other,Matastad,2021-10-31 09:14:39.549928,2024-08-05 23:32:57.375175,1009.0,True
82,Elizabeth Mcguire,powellchloe@example.net,60,Other,Jasonmouth,2024-02-29 12:37:57.473307,2026-11-18 09:46:14.702510,992.0,True
83,Carla Gibson,woodsshawn@example.net,20,Other,Claireville,2023-03-09 11:59:27.005048,2026-07-15 06:18:53.591068,1223.0,False
84,Donald Johnson,mejiamichelle@example.org,46,Male,Thomasview,2022-01-15 14:45:56.965868,2026-03-17 16:01:57.018061,1522.0,False
85,Abigail Welch,eharris@example.net,52,Male,New Williehaven,2024-02-16 06:53:00.594194,2024-12-01 22:27:47.268665,289.0,True
86,Amanda Murphy,richard64@example.net,61,Female,Port Cory,2022-12-01 00:15:22.519963,2026-08-23 05:20:44.824200,1361.0,False
87,Erica Adams,robert63@example.org,46,Male,West Kathleen,2022-12-08 08:59:34.420007,2026-07-21 02:25:08.708480,1320.0,False
88,Harold Freeman,josephkhan@example.net,31,Other,South Kylehaven,2022-04-28 07:19:34.855816,2027-04-10 08:41:48.426733,1808.0,False
89,Jerry Powell,zachary92@example.net,49,Male,Lake Jamesborough,2021-04-18 22:06:17.982813,2027-11-02 03:37:18.740140,2388.0,False
90,David Riley,twall@example.org,46,Female,East Jessicachester,2022-04-05 05:57:53.616904,2026-07-04 10:04:12.037493,1551.0,False
91,Stephen Evans,arnoldlaura@example.net,38,Other,South Kimberly,2021-11-06 10:11:03.095402,2028-09-24 04:22:41.585788,2513.0,True
92,Kristin Mathis,kelly20@example.org,25,Male,Lake Nathaniel,2021-01-16 09:49:22.694580,2027-01-25 23:41:53.846283,2200.0,False
93,James Mcpherson,ymosley@example.net,58,Female,East Benjaminland,2023-09-16 17:39:21.356346,2025-08-24 17:59:39.933704,708.0,False
94,Tina Carter,heidigriffin@example.net,66,Other,West Danielhaven,2020-10-04 15:30:54.943637,2024-10-30 17:42:34.583176,1487.0,True
95,Kaitlyn Logan,kingbilly@example.com,20,Female,Justinmouth,2020-07-11 11:10:17.670910,2027-08-26 17:18:15.022597,2602.0,False
96,Tracey Choi,slopez@example.org,24,Female,Lake Patrickchester,2021-04-17 23:05:09.626426,2024-08-05 10:26:07.859792,1205.0,True
97,Katrina Sharp,rodriguezbrittney@example.com,32,Other,Watsonland,2021-02-13 12:21:30.686112,2029-08-16 00:09:14.372223,3105.0,True
98,Madison Rubio,ygutierrez@example.com,24,Male,New Tracyhaven,2020-09-29 15:07:07.378849,2028-09-02 22:59:06.556167,2895.0,False
99,Jessica Wilson,amy45@example.net,61,Other,Amandaborough,2023-03-18 04:41:50.393139,2027-08-19 21:10:55.922969,1615.0,True
100,Betty Thompson,murraypaul@example.com,37,Female,Faulknerhaven,2022-12-05 13:05:43.731002,2024-08-26 10:04:09.526210,629.0,False
101,Hrag,hrag@gmail.com,20,Male,Armenia,2024-04-06 22:32:50.928799,2024-04-06 22:32:51.952557,0.0,True
